match_id,balls_per_over,team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,tv_umpire,match_referee,winner,winner_runs,winner_wickets,outcome,bowl_out,reserve_umpire,event,match_number,method,eliminator,toss_uncontested
211048,6,New Zealand,Australia,male,2004/05,2005-02-17,Eden Park,Auckland,Australia,bat,RT Ponting,BF Bowden,AL Hill,DB Cowie,CH Lloyd,Australia,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
211028,6,England,Australia,male,2005,2005-06-13,The Rose Bowl,Southampton,England,bat,KP Pietersen,NJ Llong,JW Lloyds,MR Benson,JJ Crowe,England,100,NA,NA,NA,NA,NA,NA,NA,NA,NA
222678,6,South Africa,New Zealand,male,2005/06,2005-10-21,New Wanderers Stadium,Johannesburg,New Zealand,field,JS Patel,IL Howell,BG Jerling,KH Hurter,BC Broad,New Zealand,NA,5,NA,NA,NA,NA,NA,NA,NA,NA
226374,6,Australia,South Africa,male,2005/06,2006-01-09,"Brisbane Cricket Ground, Woolloongabba",Brisbane,Australia,bat,DR Martyn,BNJ Oxenford,RL Parry,NS McNamara,RG Archer,Australia,95,NA,NA,NA,NA,NA,NA,NA,NA,NA
237242,6,New Zealand,West Indies,male,2005/06,2006-02-16,Eden Park,Auckland,New Zealand,field,DR Smith,BF Bowden,AL Hill,BG Frost,MJ Procter,NA,NA,NA,tie,New Zealand,NA,NA,NA,NA,NA,NA
238195,6,South Africa,Australia,male,2005/06,2006-02-24,New Wanderers Stadium,Johannesburg,South Africa,bat,GC Smith,M Erasmus,KH Hurter,BG Jerling,BC Broad,South Africa,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
225271,6,England,Sri Lanka,male,2006,2006-06-15,The Rose Bowl,Southampton,Sri Lanka,bat,ST Jayasuriya,IJ Gould,NJ Llong,PJ Hartley,CH Lloyd,Sri Lanka,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
225263,6,England,Pakistan,male,2006,2006-08-28,County Ground,Bristol,England,bat,Shahid Afridi,PJ Hartley,NJ Llong,IJ Gould,MJ Procter,Pakistan,NA,5,NA,NA,NL Bainton,NA,NA,NA,NA,NA
255954,6,South Africa,India,male,2006/07,2006-12-01,New Wanderers Stadium,Johannesburg,South Africa,bat,KD Karthik,IL Howell,BG Jerling,KH Hurter,BC Broad,India,NA,6,NA,NA,ZTA Ndamane,NA,NA,NA,NA,NA
251487,6,New Zealand,Sri Lanka,male,2006/07,2006-12-22,Westpac Stadium,Wellington,New Zealand,bat,ST Jayasuriya,AL Hill,EA Watkin,GAV Baxter,J Srinath,Sri Lanka,18,NA,NA,NA,RD Anderson,Sri Lanka in New Zealand T20I Series,1,D/L,NA,NA
251488,6,New Zealand,Sri Lanka,male,2006/07,2006-12-26,Eden Park,Auckland,New Zealand,field,JEC Franklin,BF Bowden,AL Hill,GAV Baxter,J Srinath,New Zealand,NA,5,NA,NA,BG Frost,Sri Lanka in New Zealand T20I Series,2,NA,NA,NA
249227,6,Australia,England,male,2006/07,2007-01-09,Sydney Cricket Ground,NA,Australia,bat,CL White,PD Parker,RL Parry,RJ Tucker,RS Madugalle,Australia,77,NA,NA,NA,RD Goodger,NA,NA,NA,NA,NA
258463,6,England,West Indies,male,2007,2007-06-28,Kennington Oval,London,West Indies,bat,PD Collingwood,PJ Hartley,NJ Llong,IJ Gould,MJ Procter,West Indies,15,NA,NA,NA,RT Robinson,West Indies in England T20I Series,1,NA,NA,NA
258464,6,England,West Indies,male,2007,2007-06-29,Kennington Oval,London,West Indies,bat,OA Shah,IJ Gould,NJ Llong,PJ Hartley,MJ Procter,England,NA,5,NA,NA,NL Bainton,West Indies in England T20I Series,2,NA,NA,NA
306987,6,Kenya,Bangladesh,male,2007/08,2007-09-01,Gymkhana Club Ground,Nairobi,Bangladesh,field,Nazimuddin,R D'Mello,SR Modi,NA,MJ Procter,Bangladesh,NA,5,NA,NA,NA Shah,Twenty20 Quadrangular (in Kenya),1,NA,NA,NA
306989,6,Bangladesh,Pakistan,male,2007/08,2007-09-02,Gymkhana Club Ground,Nairobi,Bangladesh,field,Imran Nazir,R D'Mello,SR Modi,NA,MJ Procter,Pakistan,30,NA,NA,NA,NA Shah,Twenty20 Quadrangular (in Kenya),2,NA,NA,NA
306991,6,Kenya,Pakistan,male,2007/08,2007-09-04,Gymkhana Club Ground,Nairobi,Kenya,bat,Younis Khan,SR Modi,IO Oyieko,NA,MJ Procter,Pakistan,NA,8,NA,NA,NA Shah,Twenty20 Quadrangular (in Kenya),3,NA,NA,NA
287853,6,South Africa,West Indies,male,2007/08,2007-09-11,New Wanderers Stadium,Johannesburg,South Africa,field,CH Gayle,MR Benson,DJ Harper,NJ Llong,BC Broad,South Africa,NA,8,NA,NA,KH Hurter,ICC World Twenty20,1,NA,NA,NA
287856,6,Australia,Zimbabwe,male,2007/08,2007-09-12,Newlands,Cape Town,Australia,bat,BRM Taylor,Asad Rauf,AL Hill,IL Howell,RS Madugalle,Zimbabwe,NA,5,NA,NA,M Erasmus,ICC World Twenty20,4,NA,NA,NA
287855,6,Pakistan,Scotland,male,2007/08,2007-09-12,Kingsmead,Durban,Scotland,field,Shahid Afridi,SJ Davis,SJA Taufel,BR Doctrove,MJ Procter,Pakistan,51,NA,NA,NA,BG Jerling,ICC World Twenty20,3,NA,NA,NA
287854,6,Kenya,New Zealand,male,2007/08,2007-09-12,Kingsmead,Durban,New Zealand,field,MR Gillespie,BR Doctrove,SJA Taufel,SJ Davis,MJ Procter,New Zealand,NA,9,NA,NA,BG Jerling,ICC World Twenty20,2,NA,NA,NA
287857,6,Bangladesh,West Indies,male,2007/08,2007-09-13,New Wanderers Stadium,Johannesburg,Bangladesh,field,Mohammad Ashraful,MR Benson,NJ Llong,DJ Harper,BC Broad,Bangladesh,NA,6,NA,NA,KH Hurter,ICC World Twenty20,5,NA,NA,NA
287858,6,England,Zimbabwe,male,2007/08,2007-09-13,Newlands,Cape Town,England,bat,KP Pietersen,Asad Rauf,AL Hill,IL Howell,RS Madugalle,England,50,NA,NA,NA,M Erasmus,ICC World Twenty20,6,NA,NA,NA
287861,6,Australia,England,male,2007/08,2007-09-14,Newlands,Cape Town,England,bat,NW Bracken,Asad Rauf,IL Howell,AL Hill,RS Madugalle,Australia,NA,8,NA,NA,M Erasmus,ICC World Twenty20,9,NA,NA,NA
287862,6,India,Pakistan,male,2007/08,2007-09-14,Kingsmead,Durban,Pakistan,field,Mohammad Asif,BR Doctrove,SJA Taufel,SJ Davis,MJ Procter,NA,NA,NA,tie,India,BG Jerling,ICC World Twenty20,10,NA,NA,NA
287860,6,Kenya,Sri Lanka,male,2007/08,2007-09-14,New Wanderers Stadium,Johannesburg,Kenya,field,ST Jayasuriya,DJ Harper,NJ Llong,MR Benson,BC Broad,Sri Lanka,172,NA,NA,NA,KH Hurter,ICC World Twenty20,8,NA,NA,NA
287863,6,New Zealand,Sri Lanka,male,2007/08,2007-09-15,New Wanderers Stadium,Johannesburg,New Zealand,bat,ST Jayasuriya,MR Benson,DJ Harper,NJ Llong,BC Broad,Sri Lanka,NA,7,NA,NA,KH Hurter,ICC World Twenty20,11,NA,NA,NA
287864,6,South Africa,Bangladesh,male,2007/08,2007-09-15,Newlands,Cape Town,South Africa,field,M Morkel,Asad Rauf,AL Hill,IL Howell,RS Madugalle,South Africa,NA,7,NA,NA,M Erasmus,ICC World Twenty20,12,NA,NA,NA
287865,6,India,New Zealand,male,2007/08,2007-09-16,New Wanderers Stadium,Johannesburg,India,field,DL Vettori,MR Benson,NJ Llong,DJ Harper,BC Broad,New Zealand,10,NA,NA,NA,KH Hurter,ICC World Twenty20,13,NA,NA,NA
287866,6,Australia,Bangladesh,male,2007/08,2007-09-16,Newlands,Cape Town,Australia,field,B Lee,Asad Rauf,IL Howell,AL Hill,RS Madugalle,Australia,NA,9,NA,NA,M Erasmus,ICC World Twenty20,14,NA,NA,NA
287867,6,South Africa,England,male,2007/08,2007-09-16,Newlands,Cape Town,England,field,JA Morkel,Asad Rauf,AL Hill,IL Howell,RS Madugalle,South Africa,19,NA,NA,NA,M Erasmus,ICC World Twenty20,15,NA,NA,NA
287868,6,Pakistan,Sri Lanka,male,2007/08,2007-09-17,New Wanderers Stadium,Johannesburg,Sri Lanka,field,Younis Khan,DJ Harper,NJ Llong,MR Benson,BC Broad,Pakistan,33,NA,NA,NA,KH Hurter,ICC World Twenty20,16,NA,NA,NA
287870,6,Australia,Pakistan,male,2007/08,2007-09-18,New Wanderers Stadium,Johannesburg,Pakistan,field,Misbah-ul-Haq,MR Benson,NJ Llong,DJ Harper,BC Broad,Pakistan,NA,6,NA,NA,KH Hurter,ICC World Twenty20,18,NA,NA,NA
287869,6,England,New Zealand,male,2007/08,2007-09-18,Kingsmead,Durban,England,field,CD McMillan,BR Doctrove,SJA Taufel,SJ Davis,MJ Procter,New Zealand,5,NA,NA,NA,BG Jerling,ICC World Twenty20,17,NA,NA,NA
287871,6,Bangladesh,Sri Lanka,male,2007/08,2007-09-18,New Wanderers Stadium,Johannesburg,Bangladesh,field,CRD Fernando,MR Benson,DJ Harper,NJ Llong,BC Broad,Sri Lanka,64,NA,NA,NA,KH Hurter,ICC World Twenty20,19,NA,NA,NA
287872,6,South Africa,New Zealand,male,2007/08,2007-09-19,Kingsmead,Durban,South Africa,field,JM Kemp,BR Doctrove,SJA Taufel,SJ Davis,RS Madugalle,South Africa,NA,6,NA,NA,BG Jerling,ICC World Twenty20,20,NA,NA,NA
287873,6,England,India,male,2007/08,2007-09-19,Kingsmead,Durban,India,bat,Yuvraj Singh,BR Doctrove,SJA Taufel,SJ Davis,RS Madugalle,India,18,NA,NA,NA,BG Jerling,ICC World Twenty20,21,NA,NA,NA
287876,6,South Africa,India,male,2007/08,2007-09-20,Kingsmead,Durban,India,bat,RG Sharma,BR Doctrove,SJA Taufel,SJ Davis,RS Madugalle,India,37,NA,NA,NA,BG Jerling,ICC World Twenty20,24,NA,NA,NA
287874,6,Australia,Sri Lanka,male,2007/08,2007-09-20,Newlands,Cape Town,Australia,field,SR Clark,Asad Rauf,IL Howell,AL Hill,RS Madugalle,Australia,NA,10,NA,NA,M Erasmus,ICC World Twenty20,22,NA,NA,NA
